Subject,Term 
math,reciprocal
math,repeating decimal
math,replacement set
math,rise
math,run
math,simplest form
math,simplify
math,slope
math,slope-intercept form
math,solve
math,standard form of an equation
math,standard form of polynomials
math,sum
math,system of equations
math,terminating decimal
math,term
math,trinomial
math,undefined
math,variable
math,whole number
math,x-axis
math,x-intercept
math,y-axis
math,y-intercept
math,line of best fit
math,counterexample
math,degree
math,dependent variable
math,independent variable
math,domain
math,range
math,radical
math,geometric sequence
math,arithmetic sequence
math,roots
math,scientific notation
english,Allegory
english,Alliteration
english,Antagonist
english,Assonance
english,Character
english,Characterization
english,Climax
english,Complication
english,Conflict
english,Connotation
english,Convention
english,Denotation
english,Dénouement
english,Dialogue
english,Diction
english,Dramatic Irony
english,Exposition
english,Fable
english,Falling Action
english,Fiction
english,Figuarative Language
english,Flashback
english,Flat Character
english,Foil
english,Foreshadowing
english,Freytag's Pyramid
english,Hyperbole
english,Image
english,Imagery
english,Irony
english,Literal Language
english,Metaphor
english,Metonymy
english,Mood
english,Motif
english,Narrative
english,Narrator
english,Onomatopoeia
english,Parable
english,Parody
english,Personification
english,Plot
english,Point of view
english,Protagonist
english,Recognition
english,Resolution
english,Reversal
english,Rising Action
english,Round Character
english,Satire
english,Setting
english,Simile
english,Subject
english,Subplot
english,Symbol
english,Synecdoche
english,Syntax
english,Tale
english,Theme
english,Tone
english,Tragic Hero
english,Understatement
english,Writing Style
english,External Conflict
english,Internal Conflict
english,Noun
english,Verb
english,Pronoun
english,Adverb
english,Adjective
english,Conjunction
english,Articles
english,Preposition
english,Interjections
english,Suspense
english,Genre
english,Drama
english,Static Character
english,Dynamic Character
english,Sympathetic Character
english,Primary Character
english,Secondary Characters
english,Complications
english,Symbol/Symbolism
english,Cliffhanger Ending
english,Situational Irony
english,Verbal Irony
english,Man vs Man
english,Man vs Nature
english,Man vs Society
english,Man vs Self
english,Man vs Fate
english,Man vs Technology
english,Man vs Unknown/Supernatural
english,End-Stopped Line
english,Fixed Form
english,Alliterative Revival
english,Anglo-Norman Period
english,Alliteration
english,Courtly Love
english,Blazon
english,Hyperbole
english,Assonance
english,Ballad meter
english,Ballad Meter
english,Enjambment
english,Alliterative Verse
english,dramatic monologue
english,Meter
english,Paradox
english,Anglo-Saxon Period
english,Humanism
english,Dream vision
english,Medievalism
english,Dream Vision
english,Couplet
english,Narrative Verse
english,Trimeter
english,Caesura
english,Pun
english,pastoral
english,Ballad
english,Tetrameter
english,Ubi Sunt
english,Rhyme
english,Renaissance
english,Pentameter
english,Canon
english,Quatrain
english,Parody
english,rhyme scheme
english,Hexameter
english,Epic
english,Rhyme Scheme
english,Scansion
english,Sonnet
english,Mimesis
english,sonnet cycle
english,Refrain
english,Verse
english,Villanelle
english,identity
english,queer theory
english,decorum
english,anxiety of influence
english,elegy
english,heroic couplet
english,Restoration Period†
english,pathetic fallacy
english,Transgender Studies
english,mock-heroic
english,sublime
english,Neoclassicism
english,Romantic Revival
english,poetic diction
english,Satire
english,Anaphora
english,catalogue verse
english,Epistrophe
english,free verse
english,Transcendentalism
english,Allegory
english,cacophony
english,didactic
english,euphony
english,Victorian Period
english,criticism of theory
english,Intentional Fallacy
english,Rhetoric
art,Leonardo da Vinci
art,Mona Lisa
art,Pablo Picasso
art,Guernica
art,Pablo Picasso
art,Les Demoiselles D'Avignon
art,Salvador Dali
art,The Persistence of Memory
art,Grant Wood
art,American Gothic
art,Edvard Munch (pronounced MOONK)
art,The Scream
art,Sandro Botticelli
art,The Birth of Venus
art,Jan van Eyck
art,(pronounced IKE)
art,The Wedding of Arnolfini
art,Edward Hopper
art,Nighthawks
art,Leonardo da Vinci
art,The Last Supper
art,Eugene Delacroix
art,Liberty Leading the People
art,Jacques-Louis David)
art,(Da-VEED)
art,The Death of Marat
art,Raphael
art,The School of Athens
art,Francisco Goya
art,Third of May 1808
art,Pablo Picasso
art,The Old Guitarist
art,Jackson Pollock
art,(abstract expressionism)
art,"Number 5, 1948"
art,Rene Magritte
art,Son of Man
art,Leonardo da Vinci
art,Adoration of the Magi
art,Leonardo da Vinci
art,John the Baptist
art,Michelangelo
art,The Sistine Chapel
art,Michelangelo
art,The Creation of Adam
art,Edouard Manet
art,Luncheon on the Grass
art,Hokusai
art,The Great Wave off Kanagawa
art,Mary Cassatt
art,Child's Bath
art,Giorgio de Chirico
art,Melancholy and Mystery of a Street
art,Marcel Duchamp
art,"Nude Descending a Staircase, No. 2"
art,Salvador Dali (surrealism)
art,The Disintegration of the Persistence of Memory
art,Andy Warhol (pop art)
art,Campbell's Soup Cans
art,Piet Mondrian
art,Broadway Boogie Woogie
art,Marcel Duchamp
art,"The Bride Stripped Bare by Her Bachelors, Even"
art,Henri Matisse
art,Red Room
art,Paul Klee
art,The Twittering Machine
art,Diego Rivera
art,Man at the Crossroads
art,Rene Magritte
art,Time Transfixed
art,Gustav Klimt
art,The Kiss
art,Kasimir Malevich
art,White on White series
art,Marc Chagall
art,I and the Village
art,Wilhelm de Kooning
art,Woman series
art,Andrew Wyeth
art,Christina's World
art,Frida Kahlo
art,(married to Diego Rivera)
art,Self Portrait with Monkey
art,Frida Kahlo
art,The Two Fridas
art,Frida Kahlo
art,Self-Portrait with Thorn Necklace
art,Paul Cezanne
art,The Bathers
art,Paul Cezanne
art,Chateau Noir
art,Paul Cezanne
art,Still Life of Apples
art,Paul Cezanne
art,Basket of Apples
art,Paul Gauguin
art,When Will You Marry?
art,Paul Gauguin
art,Two Tahitian Women
art,Paul Gauguin
art,The Yellow Christ
art,Edgar Degas
art,Little Dancer of Fourteen Years
art,Edgar Degas
art,Ballet Rehearsal
art,Edgar Degas
art,After the Bath Woman Drying Herself
art,Claude Monet
art,Water Lilies
art,Claude Monet
art,"Impression, Sunrise"
art,Mary Cassatt
art,The Boating Party
art,Mary Cassatt
art,Little Girl in Blue Armchair
art,Gustave Caillebotte
art,"Paris Street, Rainy Day"
art,Pierre-Auguste Renoir
art,Luncheon of the Boating Party
art,Pierre-Auguste Renoir
art,Dance at Le moulin de la Galette
art,Banksy
art,Mobile Lovers
art,Banksy
art,Balloon Girl
art,Banksy
art,Slave Labour
art,Banksy
art,Bomb Hugger
art,Roy Liechtenstein
art,Wham!
art,Roy Liechtenstein
art,Drowning Girl
art,Johannes Vermeer
art,Girl with a Pearl Earring
art,Rembrandt
art,The Night Watch
art,Diego Velazquez
art,Las Meninas
art,Georges Seurat
art,A Sunday Afternoon on the Island of La Grande Jette
art,Rembrandt
art,The Storm on the Sea of Galilee
art,Vincent Van Gogh
art,Cafe Terrace at Night
art,Vincent Van Gogh
art,Starry Night
art,Johannes Vermeer
art,The Art of Painting
art,Michelangelo
art,The Last Judgment
art,Hieronymus Bosch
art,The Garden of Earthly Delights
art,Sandro Botticelli
art,Primavera
art,Alexandros of Antioch
art,Venus de Milo
art,Edouard Manet
art,Olympia
art,Johannes Vermeer
art,Astronomer
art,Paul Cezanne
art,The Card Players
art,Leonardo da Vinci
art,Lady with an Ermine
art,Leonardo da Vinci
art,The Vitruvian Man
art,Henry Rousseau
art,The Sleeping Gypsy
art,Jacques Louis-David
art,Napoleon Crossing the Alps
art,Vincent Van Gogh
art,The Night Cafe
art,Michelangelo
art,David
art,Auguste Rodin
art,The Thinker
art,Frank Lloyd Wright
art,The Guggenheim
art,Frank Lloyd Wright
art,Fallingwater (Kaufmann House)
art,I.M. Pei
art,Rock and Roll Hall of Fame
art,I.M. Pei
art,Glass Pyramid at the Louvre Museum
art,Giovannia Bellini
art,The Feast of the Gods
art,Jan von Eyck
art,Ghent Altarpiece
art,Jan von Eyck
art,Man in a Red Turban
art,Mary Cassatt
art,The Cup of Tea
art,Paul Cezanne
art,Mont Ste-Victoire
art,Thomas Gainsborough
art,The Harvest Wagon
art,Thomas Gainsborough
art,The Blue Boy
art,Thomas Gainsborough
art,Mrs. Siddons
art,El Greco
art,The Burial of Count Orgaz
art,Pietro Lorenzetti
art,Birth of the Virgin
art,Ambrogio Lorenzetti
art,Good and Bad Government
art,Georgia O'Keefe
art,Black Iris
art,Gian Lorenzo Bernini
art,Fountain of the Four Rivers
art,Donatello
art,Zuccone
art,Frédéric-Auguste Bartholdi
art,Liberty Enlightening the World
art,Daniel Chester French
art,The Minute Man
art,Michelangelo
art,Pietà
art,Michelangelo
art,Dying Slave
art,Michelangelo
art,Moses
